date,casosNovos,casosAcumulados,localidade,obitosNovos,obitosAcumulados
2020-03-25,1,4,DSCIC,0.0,0.0
2020-03-25,0,2,DSBN,0.0,0.0
2020-03-25,0,15,DSBV,0.0,0.0
2020-03-25,1,10,DSSF,0.0,0.0
2020-03-25,1,8,DSCJ,0.0,0.0
2020-03-25,1,8,DSBQ,0.0,0.0
2020-03-25,0,2,DSPN,0.0,0.0
2020-03-25,6,91,Curitiba,0.0,0.0
2020-03-26,3,25,DSMZ,0.0,0.0
2020-03-26,0,8,DSCJ,0.0,0.0
2020-03-26,6,97,Curitiba,0.0,0.0
2020-03-26,0,2,DSPN,0.0,0.0
2020-03-26,0,15,DSBV,0.0,0.0
2020-03-26,1,5,DSCIC,0.0,0.0
2020-03-26,0,2,DSBN,0.0,0.0
2020-03-26,1,19,DSPR,0.0,0.0
2020-03-26,1,11,DSSF,0.0,0.0
2020-03-26,0,8,DSBQ,0.0,0.0
2020-03-27,2,13,DSSF,0.0,0.0
2020-03-27,0,8,DSCJ,0.0,0.0
2020-03-27,1,9,DSBQ,0.0,0.0
2020-03-27,3,28,DSMZ,0.0,0.0
2020-03-27,9,106,Curitiba,0.0,0.0
2020-03-27,1,3,DSPN,0.0,0.0
2020-03-27,0,15,DSBV,0.0,0.0
2020-03-27,0,5,DSCIC,0.0,0.0
2020-03-27,1,20,DSPR,0.0,0.0
2020-03-27,1,3,DSBN,0.0,0.0
2020-03-28,0,9,DSBQ,0.0,0.0
2020-03-28,2,30,DSMZ,0.0,0.0
2020-03-28,7,113,Curitiba,0.0,0.0
2020-03-28,1,4,DSPN,0.0,0.0
2020-03-28,1,16,DSBV,0.0,0.0
2020-03-28,1,14,DSSF,0.0,0.0
2020-03-28,0,20,DSPR,0.0,0.0
2020-03-28,0,3,DSBN,0.0,0.0
2020-03-28,2,10,DSCJ,0.0,0.0
2020-03-28,0,5,DSCIC,0.0,0.0
2020-03-29,2,32,DSMZ,0.0,0.0
2020-03-29,1,10,DSBQ,0.0,0.0
2020-03-29,1,21,DSPR,0.0,0.0
2020-03-29,0,14,DSSF,0.0,0.0
2020-03-29,7,120,Curitiba,0.0,0.0
2020-03-29,1,17,DSBV,0.0,0.0
2020-03-29,0,4,DSPN,0.0,0.0
2020-03-29,0,5,DSCIC,0.0,0.0
2020-03-29,1,11,DSCJ,0.0,0.0
2020-03-29,1,4,DSBN,0.0,0.0
2020-03-30,0,11,DSCJ,0.0,0.0
2020-03-30,2,19,DSBV,0.0,0.0
2020-03-30,1,15,DSSF,0.0,0.0
2020-03-30,0,4,DSPN,0.0,0.0
2020-03-30,2,7,DSCIC,0.0,0.0
2020-03-30,2,34,DSMZ,0.0,0.0
2020-03-30,0,4,DSBN,0.0,0.0
2020-03-30,1,11,DSBQ,0.0,0.0
2020-03-30,6,27,DSPR,0.0,0.0
2020-03-30,14,134,Curitiba,0.0,0.0
2020-03-31,3,14,DSCJ,0.0,0.0
2020-03-31,2,29,DSPR,0.0,0.0
2020-03-31,0,4,DSBN,0.0,0.0
2020-03-31,1,12,DSBQ,0.0,0.0
2020-03-31,1,16,DSSF,0.0,0.0
2020-03-31,3,37,DSMZ,0.0,0.0
2020-03-31,0,4,DSPN,0.0,0.0
2020-03-31,5,24,DSBV,0.0,0.0
2020-03-31,1,8,DSCIC,0.0,0.0
2020-03-31,16,150,Curitiba,0.0,0.0
2020-04-01,6,22,DSSF,0.0,0.0
2020-04-01,1,9,DSCIC,0.0,0.0
2020-04-01,2,6,DSPN,0.0,0.0
2020-04-01,2,31,DSPR,0.0,0.0
2020-04-01,22,172,Curitiba,0.0,0.0
2020-04-01,3,17,DSCJ,0.0,0.0
2020-04-01,1,25,DSBV,0.0,0.0
2020-04-01,4,41,DSMZ,0.0,0.0
2020-04-01,2,14,DSBQ,0.0,0.0
2020-04-01,1,5,DSBN,0.0,0.0
2020-04-02,1,6,DSBN,0.0,0.0
2020-04-02,21,193,Curitiba,0.0,0.0
2020-04-02,5,27,DSSF,0.0,0.0
2020-04-02,4,29,DSBV,0.0,0.0
2020-04-02,5,36,DSPR,0.0,0.0
2020-04-02,0,14,DSBQ,0.0,0.0
2020-04-02,5,46,DSMZ,0.0,0.0
2020-04-02,0,17,DSCJ,0.0,0.0
2020-04-02,1,7,DSPN,0.0,0.0
2020-04-02,0,9,DSCIC,0.0,0.0
2020-04-03,1,47,DSMZ,0.0,0.0
2020-04-03,1,18,DSCJ,0.0,0.0
2020-04-03,1,10,DSCIC,0.0,0.0
2020-04-03,17,210,Curitiba,0.0,0.0
2020-04-03,3,17,DSBQ,0.0,0.0
2020-04-03,1,8,DSPN,0.0,0.0
2020-04-03,3,30,DSSF,0.0,0.0
2020-04-03,4,40,DSPR,0.0,0.0
2020-04-03,2,31,DSBV,0.0,0.0
2020-04-03,1,7,DSBN,0.0,0.0
2020-04-04,1,19,DSCJ,0.0,0.0
2020-04-04,2,42,DSPR,0.0,0.0
2020-04-04,3,33,DSSF,0.0,0.0
2020-04-04,3,20,DSBQ,0.0,0.0
2020-04-04,4,12,DSPN,0.0,0.0
2020-04-04,0,7,DSBN,0.0,0.0
2020-04-04,1,32,DSBV,0.0,0.0
2020-04-04,7,54,DSMZ,0.0,0.0
2020-04-04,3,13,DSCIC,0.0,0.0
2020-04-04,24,234,Curitiba,0.0,0.0
2020-04-05,1,8,DSBN,0.0,0.0
2020-04-05,0,19,DSCJ,0.0,0.0
2020-04-05,1,21,DSBQ,0.0,0.0
2020-04-05,1,43,DSPR,0.0,0.0
2020-04-05,0,33,DSSF,0.0,0.0
2020-04-05,0,12,DSPN,0.0,0.0
2020-04-05,1,14,DSCIC,0.0,0.0
2020-04-05,0,32,DSBV,0.0,0.0
2020-04-05,1,55,DSMZ,0.0,0.0
2020-04-05,5,239,Curitiba,0.0,0.0
2020-04-06,2,57,DSMZ,1.0,1.0
2020-04-06,5,38,DSSF,1.0,1.0
2020-04-06,16,255,Curitiba,3.0,3.0
2020-04-06,0,8,DSBN,0.0,0.0
2020-04-06,3,46,DSPR,0.0,0.0
2020-04-06,2,21,DSCJ,0.0,0.0
2020-04-06,4,16,DSPN,0.0,0.0
2020-04-06,0,14,DSCIC,0.0,0.0
2020-04-06,0,32,DSBV,0.0,0.0
2020-04-06,0,21,DSBQ,1.0,1.0
2020-04-07,4,25,DSBQ,2.0,3.0
2020-04-07,1,1,DSTQ,0.0,0.0
2020-04-07,7,45,DSSF,0.0,1.0
2020-04-07,2,10,DSBN,0.0,0.0
2020-04-07,6,38,DSBV,0.0,0.0
2020-04-07,7,64,DSMZ,0.0,1.0
2020-04-07,36,291,Curitiba,3.0,6.0
2020-04-07,2,23,DSCJ,0.0,0.0
2020-04-07,1,17,DSPN,0.0,0.0
2020-04-07,5,51,DSPR,1.0,1.0
2020-04-07,1,15,DSCIC,0.0,0.0
2020-04-08,1,16,DSCIC,0.0,0.0
2020-04-08,7,71,DSMZ,0.0,1.0
2020-04-08,4,27,DSCJ,0.0,0.0
