t,C1,daily_theo,distrito
159.60780390195097,2899.8853776694923,42.80586067208388,DSCJ
159.8119059529765,2908.6135329733947,42.72146520140105,DSCJ
160.016008004002,2917.324438114642,42.6368290475021,DSCJ
160.22011005502753,2926.018044758724,42.55196009991191,DSCJ
160.42421210605303,2934.694306174813,42.466866150670356,DSCJ
160.62831415707853,2943.353177217009,42.38155489474554,DSCJ
160.83241620810406,2951.9946143057878,42.296033930463565,DSCJ
161.03651825912956,2960.6185754096705,42.21031075995397,DSCJ
161.2406203101551,2969.22502002715,42.12439278961043,DSCJ
161.4447223611806,2977.8139091688404,42.03828733056534,DSCJ
161.6488244122061,2986.385205339907,41.95200159917785,DSCJ
161.85292646323163,2994.938872522753,41.865542717534936,DSCJ
162.05702851425713,3003.4748761599853,41.77891771396439,DSCJ
162.26113056528266,3011.9931831376857,41.692133523558454,DSCJ
162.46523261630816,3020.4937617689634,41.60519698870951,DSCJ
162.6693346673337,3028.976581777842,41.51811485965381,DSCJ
162.8734367183592,3037.4416142834502,41.43089379502597,DSCJ
163.0775387693847,3045.8888317845635,41.34354036242128,DSCJ
163.28164082041022,3054.3182078467644,41.256061042061,DSCJ
163.48574287143572,3062.729716780123,41.1684622306321,DSCJ
163.68984492246125,3071.123334788215,41.08075022979887,DSCJ
163.89394697348675,3079.499039388835,40.99293125262721,DSCJ
164.09804902451225,3087.856809362335,40.905011424580564,DSCJ
164.30215107553778,3096.196624734823,40.81699678416364,DSCJ
164.50625312656328,3104.5184667616118,40.72889328357265,DSCJ
164.7103551775888,3112.8223179109277,40.64070678935099,DSCJ
164.9144572286143,3121.1081618478725,40.552443083050534,DSCJ
165.11855927963984,3129.375983418662,40.4641078618972,DSCJ
165.32266133066534,3137.6257686351346,40.3757067394612,DSCJ
165.52676338169084,3145.8575046595474,40.287245246330976,DSCJ
165.73086543271637,3154.0711797896656,40.19872883078952,DSCJ
165.93496748374187,3162.266783444141,40.11016285949497,DSCJ
166.1390695347674,3170.444306148213,40.021552618161934,DSCJ
166.3431715857929,3178.6037395197045,39.93290331224593,DSCJ
166.5472736368184,3186.7450762553563,39.844220067627965,DSCJ
166.75137568784393,3194.868310117479,39.75550793130148,DSCJ
166.95547773886943,3202.9734355547016,39.666771876073305,DSCJ
167.15957978989496,3211.060447649987,39.5780168017312,DSCJ
167.36368184092046,3219.1293429916113,39.48924752605325,DSCJ
167.567783891946,3227.180119154873,39.40046879101791,DSCJ
167.7718859429715,3235.2127746779233,39.31168526363093,DSCJ
167.975987993997,3243.227309047323,39.222901536647946,DSCJ
168.18009004502252,3251.2237226838133,39.13412212929719,DSCJ
168.38419209604803,3259.202016928328,39.04535148800249,DSCJ
168.58829414707355,3267.1621940282557,38.95659398710482,DSCJ
168.79239619809906,3275.1042571239354,38.86785392958376,DSCJ
168.99649824912456,3283.0282102354126,38.7791355477771,DSCJ
169.20060030015009,3290.934058249443,38.69044300409902,DSCJ
